Cluster_Label,Biomarker,Relations
[11c]-pittsburgh,[11C]-Pittsburgh Compound B PET (PiB-PET),"[{'article': 'PMC4918115.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Alzheimer's Disease""}]"
[11c]-pittsburgh,Pittsburgh Compound-B (PiB) SUVR,"[{'article': 'PMC5144753.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnosis of amyloid presence in Alzheimer's Disease""}]"
[11c]-pittsburgh,Pittsburgh compound B (PIB),"[{'article': 'PMC4346122.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease""}, {'article': 'PMC4346122.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Presence: Amyloid deposition associated with Alzheimer's Disease""}, {'article': 'PMC4346122.txt', 'relationship': 'LEVELS_REFLECT_RESPONSE', 'object': 'Response: Amyloid deposition levels in corticobasal syndrome patients'}]"
[11c]-pittsburgh,11C-Pittsburgh compound B (PiB) PET uptake,"[{'article': 'PMC4866415.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease""}]"
[11c]-pittsburgh,PET with Pittsburgh Compound B (PIB),"[{'article': 'PMC6110931.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease""}]"
[11c]-pittsburgh,Pittsburgh compound B (PiB),"[{'article': 'PMC3523068.txt', 'relationship': 'PREDICTS_PRESENCE_OF', 'object': 'AD-type dementia in healthy older individuals'}]"
[11c]dehydroascorbic,[11C]dehydroascorbic acid,"[{'article': 'PMC8481830.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Alzheimer's Disease""}]"
[11c]dehydroascorbic,[11C]acetate,"[{'article': 'PMC8481830.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Alzheimer's Disease""}]"
[11c]dehydroascorbic,[11C]PK-11195,"[{'article': 'PMC8481830.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': 'Aβ accumulation in patients with mild cognitive impairment and AD'}]"
[11c]dehydroascorbic,[11C]PBR28,"[{'article': 'PMC8481830.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': 'Microglial activation and Aβ deposition in patients with AD'}, {'article': 'PMC8481830.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': 'Microglial activation and tau deposition in patients with AD'}]"
[11c]dehydroascorbic,[11C]-l-deprenyl-D2,"[{'article': 'PMC5478550.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease""}, {'article': 'PMC5478550.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Presence: Alzheimer's Disease""}]"
[11c]dehydroascorbic,[11C]Ascorbic,"[{'article': 'PMC8481830.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Alzheimer's Disease""}]"
[11c]dehydroascorbic,11C-(R)-PK11195,"[{'article': 'PMC6879435.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease""}]"
[11c]dehydroascorbic,11C-DAA1106,"[{'article': 'PMC6879435.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Alzheimer's Disease""}]"
[11c]dehydroascorbic,11C-DED,"[{'article': 'PMC6879435.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Astrocytosis in Alzheimer's Disease""}, {'article': 'PMC6879435.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Astrocytosis in early stages of Alzheimer's Disease""}]"
[11c]dehydroascorbic,11C-PBR28,"[{'article': 'PMC6879435.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}]"
