,pmcid,entity,score,index,word,start,end
0,PMC4397698.txt,B-DISEASE_DISORDER,0.957222,49,▁Alzheimer,201,211
1,PMC4397698.txt,B-DISEASE_DISORDER,0.9119414,51,s,212,213
2,PMC4397698.txt,I-DISEASE_DISORDER,0.83856195,52,▁disease,213,221
3,PMC4397698.txt,B-PROTEIN,0.6189582,84,▁factors,413,421
4,PMC4397698.txt,B-DISEASE_DISORDER,0.7867829,46,',262,263
5,PMC4397698.txt,B-PROTEIN,0.50599355,85,▁Neuro,433,439
6,PMC4397698.txt,B-PROTEIN,0.61803293,60,▁brain,332,338
7,PMC4397698.txt,B-PROTEIN,0.72894543,61,-,338,339
8,PMC4397698.txt,B-PROTEIN,0.67044324,62,derived,339,346
9,PMC4397698.txt,B-PROTEIN,0.5419696,63,▁neurotrophic,346,359
10,PMC4397698.txt,B-PROTEIN,0.50609714,64,▁factor,359,366
11,PMC4397698.txt,B-PROTEIN,0.68009806,66,BD,368,370
12,PMC4397698.txt,B-PROTEIN,0.57451904,67,NF,370,372
13,PMC4397698.txt,B-PROTEIN,0.70905,70,▁glial,374,380
14,PMC4397698.txt,B-PROTEIN,0.7036854,71,▁cell,380,385
15,PMC4397698.txt,B-PROTEIN,0.7476918,72,▁line,385,390
16,PMC4397698.txt,B-PROTEIN,0.76170784,78,GD,420,422
17,PMC4397698.txt,B-PROTEIN,0.6601455,83,▁vascular,430,439
18,PMC4397698.txt,B-PROTEIN,0.6467463,84,▁endothelial,439,451
19,PMC4397698.txt,B-PROTEIN,0.6355557,85,▁growth,451,458
20,PMC4397698.txt,B-PROTEIN,0.69258267,88,VEGF,467,471
21,PMC4397698.txt,B-PROTEIN,0.54037225,33,▁beta,190,195
22,PMC4397698.txt,B-PROTEIN,0.6733368,40,A,226,227
23,PMC4397698.txt,B-PROTEIN,0.64411753,41,β,227,228
24,PMC4397698.txt,B-PROTEIN,0.5430201,68,karyo,380,385
25,PMC4397698.txt,B-DISEASE_DISORDER,0.6084403,35,▁cognitive,199,209
26,PMC4397698.txt,I-DISEASE_DISORDER,0.52622634,51,▁disorders,293,303
27,PMC4397698.txt,B-DISEASE_DISORDER,0.80695635,55,▁dementia,312,321
28,PMC4397698.txt,B-DISEASE_DISORDER,0.6471629,62,AD,344,346
29,PMC4397698.txt,B-DISEASE_DISORDER,0.8947253,66,▁Parkinson,352,362
30,PMC4397698.txt,B-DISEASE_DISORDER,0.5710307,71,PD,374,376
31,PMC4397698.txt,B-DISEASE_DISORDER,0.8157245,84,▁AD,436,439
32,PMC4397698.txt,B-PROTEIN,0.63151515,35,▁Aluminum,183,192
33,PMC4397698.txt,B-PROTEIN,0.8234429,37,Al,194,196
34,PMC4397698.txt,B-PROTEIN,0.7103657,64,▁Al,311,314
35,PMC4397698.txt,B-DISEASE_DISORDER,0.7530922,28,▁neuro,170,176
36,PMC4397698.txt,B-PROTEIN,0.58743435,45,▁A,272,274
37,PMC4397698.txt,B-PROTEIN,0.63221884,53,▁amyloid,317,325
38,PMC4397698.txt,B-PROTEIN,0.5326335,63,),363,364
39,PMC4397698.txt,B-PROTEIN,0.51261586,91,▁acetyl,506,513
40,PMC4397698.txt,I-DISEASE_DISORDER,0.5265485,87,▁plaques,483,491
41,PMC4397698.txt,B-DISEASE_DISORDER,0.9249361,29,▁neurodegenerative,160,178
42,PMC4397698.txt,B-DISEASE_DISORDER,0.84771115,71,▁Huntington,359,370
43,PMC4397698.txt,B-DISEASE_DISORDER,0.8647876,52,▁PD,263,266
44,PMC4397698.txt,I-DISEASE_DISORDER,0.7282298,24,▁diseases,114,123
45,PMC4397698.txt,B-PROTEIN,0.57534575,47,▁anti,232,237
46,PMC4397698.txt,B-PROTEIN,0.5384195,6,27,18,20
47,PMC4397698.txt,I-DISEASE_DISORDER,0.5033011,46,▁disorder,242,251
48,PMC4397698.txt,B-PROTEIN,0.61490923,67,Cl,367,369
49,PMC4397698.txt,B-PROTEIN,0.59235626,68,3,369,370
50,PMC4397698.txt,B-PROTEIN,0.63156337,61,1,263,264
51,PMC4397698.txt,B-PROTEIN,0.6007525,63,40,265,267
52,PMC4397698.txt,B-PROTEIN,0.68055844,91,42,383,385
53,PMC4397698.txt,B-PROTEIN,0.8817616,1,▁β,0,1
54,PMC4397698.txt,B-PROTEIN,0.7282238,35,▁,147,148
55,PMC4397698.txt,B-PROTEIN,0.64570206,37,py,153,155
56,PMC4397698.txt,B-PROTEIN,0.640736,38,k,155,156
57,PMC4397698.txt,B-PROTEIN,0.6061607,30,ChE,155,158
58,PMC4397698.txt,B-PROTEIN,0.67500913,81,▁sodium,448,455
59,PMC4397698.txt,B-PROTEIN,0.7691119,84,▁calcium,460,468
60,PMC4397698.txt,B-PROTEIN,0.5159019,86,gated,469,474
61,PMC4397698.txt,B-DISEASE_DISORDER,0.7253698,27,▁learning,146,155
