NCT_ID,PMID
NCT00000171,"['14655926', '33189083']"
NCT00000172,['10971048']
NCT00000173,"['14732621', '17210817', '2650663', '35719690', '9443470', '9447429']"
NCT00000174,['17509485']
NCT00000176,"['17195882', '8709781', '9191758', '9484355']"
NCT00000177,['10697060']
NCT00000178,['10680787']
NCT00000179,['11087767']
NCT00001178,"['3497229', '3872096', '6335379']"
NCT00001235,"['6600923', '7596406', '7732429']"
NCT00001480,['8268327']
NCT00001662,"['2900537', '8153879', '8768713']"
NCT00001917,"['6753611', '7023592', '827772']"
NCT00001933,"['2062717', '2294654', '3518588']"
NCT00001972,"['3121601', '5785006', '6432811']"
NCT00001977,"['1782529', '3950635']"
NCT00004845,['12783912']
NCT00006176,"['10517635', '10595921', '12103288']"
NCT00006399,"['1410163', '8024677', None]"
NCT00007189,"['10851364', '17111043', '17460158', '18378608', '18474729', '25022541', '25115882', '8712791', '8757015']"
NCT00009191,['11007727']
NCT00009217,['21845596']
NCT00010803,"['15820233', '16226041', '16627007', '16949348', '17087700', '18000144', '18165850', '19017911', '19279031', '19347684', '20040554', '20123670', None]"
NCT00013182,"['11820554', '12382454', '16126650', '16137280', None]"
NCT00013650,['10680787']
NCT00013923,"['10818509', '11193795', '8295654']"
NCT00015548,"['11739062', '12908661', '17035647', '17984395', '18519523', '19369318', '20214847', '28215900', '29045769', '32074412', '33176899']"
NCT00017940,"['10485922', '11172055', '15852017']"
NCT00024531,"['10936882', '12212783', '14501025', '15883262', '8744411', '9329686']"
NCT00029120,['10567488']
NCT00031018,['11131295']
NCT00034567,"['17135805', '17135806', '17135808', '17135809', '17135810', '17135811', '17135812']"
NCT00034762,['16505133']
NCT00035204,['33189083']
NCT00036114,['34918337']
NCT00039702,"['7901908', '8346443', '8350998']"
NCT00040378,"['22651854', '23171483', '23299383', '23906000', '26180776', '27519183', '27801937', '28319243', '33569563', '7644059', '9110909', '9989456']"
NCT00046358,"['10682216', '9343469', '9697923']"
NCT00053599,"['11089820', '11881745', '12205648']"
NCT00056225,"['11844848', '11880504', '12611755', '18854539']"
NCT00056329,"['9110909', '9153159', '9161927', None]"
NCT00056524,['25062507']
NCT00056628,"['11723260', '12391340', '9457114']"
NCT00059410,"['10750312', '10994653', '12621316']"
NCT00062569,"['12219552', '9928961', None]"
NCT00063310,"['11560301', '12391612', '12622570']"
NCT00065767,"['11296734', '11795356', '12371603']"
NCT00066157,"['10399774', '11524467', '12149049']"
NCT00071721,"['10037507', '11126389', '12453674', '21810649']"
NCT00074529,"['19015485', '19949163']"
NCT00076440,"['10718932', '11560301', '12391612']"
NCT00083590,"['10637369', '9141073', None]"
NCT00086138,"['17068314', '20087081', '20672243']"
NCT00088387,"['12671529', '12677073', '7574462']"
NCT00089882,"['12794385', '12820701', '15266207', '15654228', '16306249', '25642295']"
NCT00090402,"['12873849', '12897407', '15339646', '24077434']"
NCT00093951,['15451390']
NCT00094913,"['10023955', '11445252', '11526211']"
NCT00094939,"['10634455', '12196665', '12429378']"
NCT00094952,"['12196665', '12429378', '14657306']"
NCT00099242,"['21312297', '27681702']"
NCT00099710,"['11571321', '11606625', '15590663', '23107780']"
NCT00105105,['12212781']
NCT00105547,['20009055']
NCT00105612,"['11329391', '12473015', '20808101', '7575221', '7955902', None]"
NCT00105638,['20507926']
NCT00106899,"['12714109', '12904814', '14732621', '20813339', '21220675', '21659625', '22019547', '22503160', '22963265', '32785820', '36253968']"
NCT00110552,"['12605619', '12895683']"
NCT00112073,"['22473769', '25669746']"
NCT00117403,"['10096843', '14732624', '22431837', '9110909']"
NCT00119561,"['22917945', '24617278']"
NCT00120874,"['10189596', '14559955']"
NCT00142324,['17914039']
NCT00142805,"['10634967', '10805800', '10811879', '19664276', '21992747', '6544385', '8592548', '9932420']"
NCT00147693,['19500421']
NCT00149175,"['17071924', '17318302', '17345602', '17436289', '17664410']"
NCT00161473,['19700947']
NCT00164749,"['17951067', '18204357']"
NCT00177489,"['17116917', '20122038', '21391405']"
NCT00178165,"['12937330', '12937331', '12937332', '12937333', '12937334', '12937335', '12937336', '14518799', '14518800', '14518801', '14518802', '14518803']"
NCT00182897,"['12937333', '7852717', '8907091', '9203759']"
