,NCT_ID,PMID
0,NCT00000171,14655926
1,NCT00000171,33189083
2,NCT00000172,10971048
3,NCT00000173,14732621
4,NCT00000173,17210817
5,NCT00000173,2650663
6,NCT00000173,35719690
7,NCT00000173,9443470
8,NCT00000173,9447429
9,NCT00000174,17509485
10,NCT00000176,17195882
11,NCT00000176,8709781
12,NCT00000176,9191758
13,NCT00000176,9484355
14,NCT00000177,10697060
15,NCT00000178,10680787
16,NCT00000179,11087767
17,NCT00001178,3497229
18,NCT00001178,3872096
19,NCT00001178,6335379
20,NCT00001235,6600923
21,NCT00001235,7596406
22,NCT00001235,7732429
23,NCT00001480,8268327
24,NCT00001662,2900537
25,NCT00001662,8153879
26,NCT00001662,8768713
27,NCT00001917,6753611
28,NCT00001917,7023592
29,NCT00001917,827772
30,NCT00001933,2062717
31,NCT00001933,2294654
32,NCT00001933,3518588
33,NCT00001972,3121601
34,NCT00001972,5785006
35,NCT00001972,6432811
36,NCT00001977,1782529
37,NCT00001977,3950635
38,NCT00004845,12783912
39,NCT00006176,10517635
40,NCT00006176,10595921
41,NCT00006176,12103288
42,NCT00006399,1410163
43,NCT00006399,8024677
44,NCT00007189,10851364
45,NCT00007189,17111043
46,NCT00007189,17460158
47,NCT00007189,18378608
48,NCT00007189,18474729
49,NCT00007189,25022541
50,NCT00007189,25115882
51,NCT00007189,8712791
52,NCT00007189,8757015
53,NCT00009191,11007727
54,NCT00009217,21845596
55,NCT00010803,15820233
56,NCT00010803,16226041
57,NCT00010803,16627007
58,NCT00010803,16949348
59,NCT00010803,17087700
60,NCT00010803,18000144
61,NCT00010803,18165850
62,NCT00010803,19017911
63,NCT00010803,19279031
64,NCT00010803,19347684
65,NCT00010803,20040554
66,NCT00010803,20123670
67,NCT00013182,11820554
68,NCT00013182,12382454
69,NCT00013182,16126650
70,NCT00013182,16137280
72,NCT00013923,10818509
73,NCT00013923,11193795
74,NCT00013923,8295654
75,NCT00015548,11739062
76,NCT00015548,12908661
77,NCT00015548,17035647
78,NCT00015548,17984395
79,NCT00015548,18519523
80,NCT00015548,19369318
81,NCT00015548,20214847
82,NCT00015548,28215900
83,NCT00015548,29045769
84,NCT00015548,32074412
85,NCT00015548,33176899
86,NCT00017940,10485922
87,NCT00017940,11172055
88,NCT00017940,15852017
89,NCT00024531,10936882
90,NCT00024531,12212783
91,NCT00024531,14501025
92,NCT00024531,15883262
93,NCT00024531,8744411
94,NCT00024531,9329686
95,NCT00029120,10567488
96,NCT00031018,11131295
97,NCT00034567,17135805
98,NCT00034567,17135806
99,NCT00034567,17135808
100,NCT00034567,17135809
101,NCT00034567,17135810
102,NCT00034567,17135811
103,NCT00034567,17135812
104,NCT00034762,16505133
106,NCT00036114,34918337
107,NCT00039702,7901908
108,NCT00039702,8346443
109,NCT00039702,8350998
110,NCT00040378,22651854
111,NCT00040378,23171483
112,NCT00040378,23299383
113,NCT00040378,23906000
114,NCT00040378,26180776
115,NCT00040378,27519183
116,NCT00040378,27801937
117,NCT00040378,28319243
118,NCT00040378,33569563
119,NCT00040378,7644059
120,NCT00040378,9110909
121,NCT00040378,9989456
122,NCT00046358,10682216
123,NCT00046358,9343469
124,NCT00046358,9697923
125,NCT00053599,11089820
126,NCT00053599,11881745
127,NCT00053599,12205648
128,NCT00056225,11844848
129,NCT00056225,11880504
130,NCT00056225,12611755
131,NCT00056225,18854539
133,NCT00056329,9153159
134,NCT00056329,9161927
135,NCT00056524,25062507
136,NCT00056628,11723260
137,NCT00056628,12391340
138,NCT00056628,9457114
139,NCT00059410,10750312
140,NCT00059410,10994653
141,NCT00059410,12621316
142,NCT00062569,12219552
143,NCT00062569,9928961
144,NCT00063310,11560301
145,NCT00063310,12391612
146,NCT00063310,12622570
147,NCT00065767,11296734
148,NCT00065767,11795356
149,NCT00065767,12371603
150,NCT00066157,10399774
151,NCT00066157,11524467
152,NCT00066157,12149049
153,NCT00071721,10037507
154,NCT00071721,11126389
155,NCT00071721,12453674
156,NCT00071721,21810649
157,NCT00074529,19015485
158,NCT00074529,19949163
159,NCT00076440,10718932
162,NCT00083590,10637369
163,NCT00083590,9141073
164,NCT00086138,17068314
165,NCT00086138,20087081
166,NCT00086138,20672243
167,NCT00088387,12671529
168,NCT00088387,12677073
169,NCT00088387,7574462
170,NCT00089882,12794385
171,NCT00089882,12820701
172,NCT00089882,15266207
173,NCT00089882,15654228
174,NCT00089882,16306249
175,NCT00089882,25642295
176,NCT00090402,12873849
177,NCT00090402,12897407
178,NCT00090402,15339646
179,NCT00090402,24077434
180,NCT00093951,15451390
181,NCT00094913,10023955
182,NCT00094913,11445252
183,NCT00094913,11526211
184,NCT00094939,10634455
185,NCT00094939,12196665
186,NCT00094939,12429378
189,NCT00094952,14657306
190,NCT00099242,21312297
191,NCT00099242,27681702
192,NCT00099710,11571321
193,NCT00099710,11606625
194,NCT00099710,15590663
195,NCT00099710,23107780
196,NCT00105105,12212781
197,NCT00105547,20009055
198,NCT00105612,11329391
199,NCT00105612,12473015
200,NCT00105612,20808101
201,NCT00105612,7575221
202,NCT00105612,7955902
203,NCT00105638,20507926
204,NCT00106899,12714109
205,NCT00106899,12904814
207,NCT00106899,20813339
208,NCT00106899,21220675
209,NCT00106899,21659625
210,NCT00106899,22019547
211,NCT00106899,22503160
212,NCT00106899,22963265
213,NCT00106899,32785820
214,NCT00106899,36253968
215,NCT00110552,12605619
216,NCT00110552,12895683
217,NCT00112073,22473769
218,NCT00112073,25669746
219,NCT00117403,10096843
220,NCT00117403,14732624
221,NCT00117403,22431837
223,NCT00119561,22917945
224,NCT00119561,24617278
225,NCT00120874,10189596
226,NCT00120874,14559955
227,NCT00142324,17914039
228,NCT00142805,10634967
229,NCT00142805,10805800
230,NCT00142805,10811879
231,NCT00142805,19664276
232,NCT00142805,21992747
233,NCT00142805,6544385
