,Cluster,Biomarker,Relations
1853,0,HVA,"[{'article': 'PMC5008228.txt', 'relationship': 'MONITORED_DURING_TREATMENT', 'object': 'Nilotinib treatment'}, {'article': 'PMC5008228.txt', 'relationship': 'ASSOCIATED_WITH_BETTER_OUTCOME', 'object': ""Better outcome: Increased dopamine levels in Alzheimer's Disease""}]"
1825,0,HF,"[{'article': 'PMC8154928.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': 'Mild Cognitive Impairment'}]"
1841,0,HR,"[{'article': 'PMC8345445.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}]"
2395,0,Mer,"[{'article': 'PMC11274940.txt', 'relationship': 'RELATED_TREATMENT', 'object': 'Microglia recognition and phagocytosis of amyloid plaques in AD'}, {'article': 'PMC11274940.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': 'Pathogenesis of AD'}]"
64,0,4-HNE,"[{'article': 'PMC3978916.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Oxidative stress in Alzheimer's Disease""}, {'article': 'PMC3978916.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Oxidative stress in Alzheimer's Disease""}, {'article': 'PMC3978916.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Oxidative stress in Alzheimer's Disease""}]"
56,0,2HG,"[{'article': 'PMC9212787.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease""}, {'article': 'PMC9212787.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease""}]"
1255,0,DA metabolite HVA,"[{'article': 'PMC5008228.txt', 'relationship': 'ASSOCIATED_WITH', 'object': 'neurodegeneration'}]"
1860,0,Hb,"[{'article': 'PMC7023686.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': 'Hospitalization'}, {'article': 'PMC7023686.txt', 'relationship': 'ASSOCIATED_WITH_BETTER_OUTCOME', 'object': 'Decreased hospitalization rates and improved nutritional status in older patients'}]"
1842,0,HRV,"[{'article': 'PMC8154928.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': 'Diagnose: Pathological states'}, {'article': 'PMC8154928.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': 'Presence: Autonomic dysfunction in dementia'}, {'article': 'PMC8154928.txt', 'relationship': 'ASSOCIATED_WITH_BETTER_OUTCOME', 'object': 'Outcome: Better cognitive performance and executive functions'}, {'article': 'PMC8154928.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': 'Mild Cognitive Impairment'}, {'article': 'PMC8345445.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}, {'article': 'PMC7674649.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Alzheimer's Disease""}]"
1852,0,HT7,"[{'article': 'PMC4294473.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease""}]"
