,Biomarker,Relations,Cluster
0,11C-(R)-PK11195,"[{'article': 'PMC6879435.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease""}]",369
1,11C-DAA1106,"[{'article': 'PMC6879435.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Alzheimer's Disease""}]",369
2,11C-DED,"[{'article': 'PMC6879435.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Astrocytosis in Alzheimer's Disease""}, {'article': 'PMC6879435.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Astrocytosis in early stages of Alzheimer's Disease""}]",369
3,11C-PBR28,"[{'article': 'PMC6879435.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}]",369
4,11C-PiB,"[{'article': 'PMC6879435.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Presence: Aβ deposition in Alzheimer's Disease""}, {'article': 'PMC6879435.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Aβ plaque deposition in Alzheimer's Disease""}]",5
5,11C-Pittsburgh compound B (PiB) PET uptake,"[{'article': 'PMC4866415.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease""}]",683
6,11β-HSD1,"[{'article': 'PMC5301048.txt', 'relationship': 'IS_TARGET_OF_TREATMENT', 'object': ""Treatment: UE2343 (Xanamem™) for Alzheimer's Disease""}]",682
7,11β‐HSD1,"[{'article': 'PMC5301048.txt', 'relationship': 'RELATED_TREATMENT', 'object': ""Treatment of cognitive impairment in early‐stage Alzheimer's Disease""}, {'article': 'PMC5301048.txt', 'relationship': 'ASSOCIATED_WITH_BETTER_OUTCOME', 'object': 'Cognitive improvement in memory'}, {'article': 'PMC5301048.txt', 'relationship': 'IS_TARGET_OF_TREATMENT', 'object': ""Therapeutic strategy for Alzheimer's Disease""}]",682
8,123iodine-metaiodobenzylguanidine (MIBG) myocardial scintigraphy,"[{'article': 'PMC5496518.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Dementia with Lewy Bodies (DLB), which is often misdiagnosed as Alzheimer's Disease""}]",564
9,129Xe,"[{'article': 'PMC6023430.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnosis: Alzheimer's Disease""}, {'article': 'PMC6023430.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease""}, {'article': 'PMC6023430.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}, {'article': 'PMC6023430.txt', 'relationship': 'RELATED_PROGNOSIS', 'object': ""Disease progression in Alzheimer's Disease""}, {'article': 'PMC6023430.txt', 'relationship': 'BIOMARKER_DYNAMICS_UNDER_TREATMENT', 'object': 'Disease state and progression'}]",614
10,129Xe retention parameter,"[{'article': 'PMC9314594.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Alzheimer's Disease""}]",3
11,129Xe signal in gray matter,"[{'article': 'PMC9314594.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}]",350
